"","job_skills","count"
"329","objectoriented programming",34
"330","spark mllib",34
"331","sqs",34
"332","ai/ml",33
"333","api",33
"334","azure databricks",33
"335","biostatistics",33
"336","c",33
"337","data scientist",33
"338","dataops",33
"339","deployment",33
"340","etl tools",33
"341","exploratory data analysis",33
"342","probability",33
"343","process improvement",33
"344","rds",33
"345","scipy",33
"346","trend analysis",33
"347","css",32
"348","data mapping",32
"349","ec2",32
"350","intent classification",32
"351","julia",32
"352","performance tuning",32
"353","sdlc",32
"354","transformers",32
"355","vba",32
"356","visualization tools",32
"357",".net",31
"358","apache kafka",31
"359","autocad",31
"360","aws glue",31
"361","bi tools",31
"362","cybersecurity",31
"363","experimental design",31
"364","gitlab",31
"365","gurobi",31
"366","mechanical engineering",31
"367","model development",31
"368","requirements gathering",31
"369","ruby",31
"370","security",31
"371","team leadership",31
"372","text extraction",31
"373","time series",31
"374","arcgis",30
"375","business acumen",30
"376","change management",30
"377","data quality assurance",30
"378","epidemiology",30
"379","etl/elt",30
"380","firewalls",30
"381","jupyter notebooks",30
"382","powershell",30
"383","rdbms",30
"384","shell scripting",30
"385","statistical modelling",30
"386","unstructured data",30
"387","access",29
"388","data visualization tools",29
"389","decision making",29
"390","flink",29
"391","hdfs",29
"392","llm",29
"393","natural language processing (nlp)",29
"394","nifi",29
"395","prescriptive analytics",29
"396","scripting",29
"397","azure synapse",28
"398","chef",28
"399","cloudformation",28
"400","coding",28
"401","crossfunctional collaboration",28
"402","financial services",28
"403","power apps",28
"404","react",28
"405","scalability",28
"406","access points",27
"407","apache beam",27
"408","data presentation",27
"409","data studio",27
"410","distributed computing",27
"411","dynamics crm",27
"412","kibana",27
"413","mongo",27
"414","multitasking",27
"415","productivity",27
"416","quantitative analysis",27
"417","stt",27
"418","tts",27
"419","analysis",26
"420","data lineage",26
"421","etl pipelines",26
"422","genomics",26
"423","graphql",26
"424","impala",26
"425","microsoft power bi",26
"426","routers",26
"427","shell",26
"428","talend",26
"429","team collaboration",26
"430","text mining",26
"431","web development",26
"432","cloud infrastructure",25
"433","d3",25
"434","data loading",25
"435","model evaluation",25
"436","statistical models",25
"437","azure data lake",24
"438","backup and recovery",24
"439","business intelligence (bi)",24
"440","clickhouse",24
"441","data enrichment",24
"442","data protection",24
"443","dax",24
"444","erp",24
"445","gis",24
"446","hardware",24
"447","healthcare data",24
"448","imac",24
"449","jupyter",24
"450","oop languages",24
"451","oozie",24
"452","pattern recognition",24
"453","random forests",24
"454","sharepoint",24
"455","bitbucket",23
"456","cissp",23
"457","cloudwatch",23
"458","containerization",23
"459","continuous delivery",23
"460","data engineer",23
"461","data products",23
"462","database development",23
"463","english communication",23
"464","iot",23
"465","kvm units",23
"466","linear regression",23
"467","machine learning (ml)",23
"468","master data management",23
"469","olap",23
"470","perl",23
"471","record keeping",23
"472","revit",23
"473","root cause analysis",23
"474","software architecture",23
"475","spark streaming",23
"476","ssas",23
"477","storage",23
"478","angular",22
"479","automated testing",22
"480","ci/cd pipelines",22
"481","cloud",22
"482","data gathering",22
"483","database administration",22
"484","iam",22
"485","logical thinking",22
"486","microstrategy",22
"487","network switches",22
"488","php",22
"489","product analytics",22
"490","qlikview",22
"491","quality control",22
"492","science",22
"493","security+",22
"494","sns",22
"495","splunk",22
"496","structured data",22
"497","visual studio",22
"498","word",22
"499","api development",21
"500","azure analysis services",21
"501","bert",21
"502","cism",21
"503","crossfunctional teams",21
"504","data center",21
"505","data strategy",21
"506","dataverse",21
"507","efficiency",21
"508","financial analysis",21
"509","hyper converged infrastructure",21
"510","information systems",21
"511","microsoft access",21
"512","python (numpy pandas etc.)",21
"513","python (scikitlearn genism etc.)",21
